kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes,calculated_sentiment,textblob_sentiment,vader_sentiment,transformer_sentiment
news,newsbtc.com,"{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None, 'type': 'feed'}","‘Bitcoin Wants To Go Higher,’ Says Bitwise CIO—But There’s A Catch",2025-04-16T03:00:49Z,Bitcoin-Wants-To-Go-Higher-Says-Bitwise-CIOBut-Theres-A-Catch,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097165,https://cryptopanic.com/news/21097165/Bitcoin-Wants-To-Go-Higher-Says-Bitwise-CIOBut-Theres-A-Catch?mtm_campaign=API-OFA,2025-04-16T03:00:49Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,positive,neutral,positive
news,fxstreet.com,"{'title': 'FXStreet', 'region': 'en', 'domain': 'fxstreet.com', 'path': None, 'type': 'feed'}","Solana's 'Strategy,' Janover increases SOL holdings with $10.5 million purchase, stock price jumps over 1700%",2025-04-16T03:00:24Z,Solanas-Strategy-Janover-increases-SOL-holdings-with-105-million-purchase-stock-price-jumps-over-1700,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",21097760,https://cryptopanic.com/news/21097760/Solanas-Strategy-Janover-increases-SOL-holdings-with-105-million-purchase-stock-price-jumps-over-1700?mtm_campaign=API-OFA,2025-04-16T03:00:24Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,neutral,neutral,positive
news,coindesk.com,"{'title': 'CoinDesk', 'region': 'en', 'domain': 'coindesk.com', 'path': None, 'type': 'feed'}",Noble’s New ‘AppLayer’ Lets Developers Build Stablecoin Tools on Celestia,2025-04-16T03:00:00Z,Nobles-New-AppLayer-Lets-Developers-Build-Stablecoin-Tools-on-Celestia,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'TIA', 'title': 'Celestia', 'slug': 'celestia', 'url': 'https://cryptopanic.com/news/celestia/'}]",21097277,https://cryptopanic.com/news/21097277/Nobles-New-AppLayer-Lets-Developers-Build-Stablecoin-Tools-on-Celestia?mtm_campaign=API-OFA,2025-04-16T03:00:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,positive,neutral,positive
news,newsbtc.com,"{'title': 'NewsBTC', 'region': 'en', 'domain': 'newsbtc.com', 'path': None, 'type': 'feed'}",Bitcoin Price on The Brink? Signs Point to Renewed Decline,2025-04-16T02:57:25Z,Bitcoin-Price-on-The-Brink-Signs-Point-to-Renewed-Decline,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}, {'code': 'TUSD', 'title': 'TrueUSD', 'slug': 'true-usd', 'url': 'https://cryptopanic.com/news/true-usd/'}]",21097098,https://cryptopanic.com/news/21097098/Bitcoin-Price-on-The-Brink-Signs-Point-to-Renewed-Decline?mtm_campaign=API-OFA,2025-04-16T02:57:25Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,neutral,neutral,negative
news,square.binance.com,"{'title': 'Binance Square', 'region': 'en', 'domain': 'square.binance.com', 'path': None, 'type': 'feed'}",Bitcoin's Death Cross: Historical Patterns and Market Implications,2025-04-16T02:54:02Z,Bitcoins-Death-Cross-Historical-Patterns-and-Market-Implications,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097402,https://cryptopanic.com/news/21097402/Bitcoins-Death-Cross-Historical-Patterns-and-Market-Implications?mtm_campaign=API-OFA,2025-04-16T02:54:02Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",negative,neutral,negative,negative
news,coingape.com,"{'title': 'CoinGape', 'region': 'en', 'domain': 'coingape.com', 'path': None, 'type': 'feed'}",Semler Scientific Files To Buy $500M in Bitcoin Amid $30M DOJ Settlement,2025-04-16T02:51:57Z,Semler-Scientific-Files-To-Buy-500M-in-Bitcoin-Amid-30M-DOJ-Settlement,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'S', 'title': 'Sonic (prev. FTM)', 'slug': 'sonic-3', 'url': 'https://cryptopanic.com/news/sonic-3/'}]",21097096,https://cryptopanic.com/news/21097096/Semler-Scientific-Files-To-Buy-500M-in-Bitcoin-Amid-30M-DOJ-Settlement?mtm_campaign=API-OFA,2025-04-16T02:51:57Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",neutral,neutral,neutral,negative
news,feeds2.benzinga.com,"{'title': 'Benzinga', 'region': 'en', 'domain': 'feeds2.benzinga.com', 'path': None, 'type': 'feed'}","OM Token Rallies 28%, Gives Marginal Relief To Crash-Hit Holders After MANTRA Co-founder Assures 'Post-Mortem Report,' Supply Burn",2025-04-16T02:49:00Z,OM-Token-Rallies-28-Gives-Marginal-Relief-To-Crash-Hit-Holders-After-MANTRA-Co-founder-Assures-Post-Mortem-Report-Supply-Burn,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'OM', 'title': 'MANTRA', 'slug': 'mantra-dao', 'url': 'https://cryptopanic.com/news/mantra-dao/'}]",21097285,https://cryptopanic.com/news/21097285/OM-Token-Rallies-28-Gives-Marginal-Relief-To-Crash-Hit-Holders-After-MANTRA-Co-founder-Assures-Post-Mortem-Report-Supply-Burn?mtm_campaign=API-OFA,2025-04-16T02:49:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",positive,neutral,positive,negative
news,square.binance.com,"{'title': 'Binance Square', 'region': 'en', 'domain': 'square.binance.com', 'path': None, 'type': 'feed'}",Semler Scientific Seeks $500 Million Securities Offering for General Purposes,2025-04-16T02:46:37Z,Semler-Scientific-Seeks-500-Million-Securities-Offering-for-General-Purposes,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'S', 'title': 'Sonic (prev. FTM)', 'slug': 'sonic-3', 'url': 'https://cryptopanic.com/news/sonic-3/'}]",21097397,https://cryptopanic.com/news/21097397/Semler-Scientific-Seeks-500-Million-Securities-Offering-for-General-Purposes?mtm_campaign=API-OFA,2025-04-16T02:46:37Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",positive,neutral,positive,negative
news,square.binance.com,"{'title': 'Binance Square', 'region': 'en', 'domain': 'square.binance.com', 'path': None, 'type': 'feed'}",Strive Asset Management CEO Urges Intuit to Reconsider Bitcoin Policies,2025-04-16T02:46:20Z,Strive-Asset-Management-CEO-Urges-Intuit-to-Reconsider-Bitcoin-Policies,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097396,https://cryptopanic.com/news/21097396/Strive-Asset-Management-CEO-Urges-Intuit-to-Reconsider-Bitcoin-Policies?mtm_campaign=API-OFA,2025-04-16T02:46:20Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",positive,neutral,positive,negative
news,coingape.com,"{'title': 'CoinGape', 'region': 'en', 'domain': 'coingape.com', 'path': None, 'type': 'feed'}",Bitcoin Price Predicted to Hit $90K as Saylor Buys $285M Despite $6B Losses on Q1 BTC Purchase,2025-04-16T02:45:01Z,Bitcoin-Price-Predicted-to-Hit-90K-as-Saylor-Buys-285M-Despite-6B-Losses-on-Q1-BTC-Purchase,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21097076,https://cryptopanic.com/news/21097076/Bitcoin-Price-Predicted-to-Hit-90K-as-Saylor-Buys-285M-Despite-6B-Losses-on-Q1-BTC-Purchase?mtm_campaign=API-OFA,2025-04-16T02:45:01Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",positive,neutral,positive,negative
